"","year","province","provincecode","gobernadore","partido","division","sex","name2","surname3"
"1",2008,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE DESARROLLO SOCIAL","M","DANIEL","ARROYO"
"2",2008,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ECONOMIA","M","RAFAEL","PERELMITER"
"3",2008,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE JUSTICIA","M","RICARDO","CASAL"
"4",2008,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE SALUD","M","CLAUDIO","ZIN"
"5",2008,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE SEGURIDAD","M","CARLOS","STORNELLI"
"6",2008,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE TRABAJO","M","OSCAR","CUARTANGO"
"7",2008,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ASUNTOS AGRARIOS Y PRODUCCION","F","DEBORA","GIORGI"
"8",2008,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE INFRAESTRUCTURA","F","MARIA","RODRIGUEZ"
"9",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE DESARROLLO SOCIAL","M","DANIEL","ARROYO"
"10",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE DESARROLLO SOCIAL","M","ALVAREZ","OLIVERA"
"11",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ECONOMIA","M","RAFAEL","PERELMITER"
"12",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ECONOMIA","M","ARLÍA","ARLÍA"
"13",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE JUSTICIA","M","RICARDO","CASAL"
"14",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE SALUD","M","CLAUDIO","ZIN"
"15",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE SALUD","M","COLLIA","COLLIA"
"16",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE SEGURIDAD","M","CARLOS","STORNELLI"
"17",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE TRABAJO","M","OSCAR","CUARTANGO"
"18",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ASUNTOS AGRARIOS Y PRODUCCION","F","DEBORA","GIORGI"
"19",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ASUNTOS AGRARIOS Y PRODUCCION","M","FRANETOVICH","FRANETOVICH"
"20",2009,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE INFRAESTRUCTURA","F","MARIA","RODRIGUEZ"
"21",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","JEFATURA DE GABINETE","M","PÉREZ","PÉREZ"
"22",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE GOBIERNO","M","CAMAÑO","CAMAÑO"
"23",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE SEGURIDAD","M","STORNELLI","STORNELLI"
"24",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE SALUD","M","COLLIA","COLLIA"
"25",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE TRABAJO","M","ANTONIO","CUARTANGO"
"26",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ECONOMÍA","M","ARLÍA","ARLÍA"
"27",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ASUNTOS AGRARIOS","M","FRANETOVICH","FRANETOVICH"
"28",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE CULTURA Y EDUCACIÓN","F","GVIRTZ","GVIRTZ"
"29",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE DESARROLLO SOCIAL","M","ALVAREZ","OLIVERA"
"30",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE JUSTICIA Y SEGURIDAD","M","CASAL","CASAL"
"31",2010,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE INFRAESTRUCTURA","F","ÁLVAREZ","RODRÍGUEZ"
"32",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","JEFATURA DE GABINETE","M","PÉREZ","PÉREZ"
"33",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE GOBIERNO","M","CAMAÑO","CAMAÑO"
"34",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE SALUD","M","COLLIA","COLLIA"
"35",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE TRABAJO","M","ANTONIO","CUARTANGO"
"36",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ECONOMÍA","M","ARLÍA","ARLÍA"
"37",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE ASUNTOS AGRARIOS","M","FRANETOVICH","FRANETOVICH"
"38",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE CULTURA Y EDUCACIÓN","F","GVIRTZ","GVIRTZ"
"39",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE DESARROLLO SOCIAL","M","ALVAREZ","OLIVERA"
"40",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE DESARROLLO SOCIAL","M","FERRÉ","FERRÉ"
"41",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE JUSTICIA Y SEGURIDAD","M","CASAL","CASAL"
"42",2011,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","MINISTERIO DE INFRAESTRUCTURA","F","ÁLVAREZ","RODRÍGUEZ"
"43",2012,"BUENOS AIRES",1,"Daniel Scioli","Frente Para la Victoria","JEFATURA DE GABINETE","M","PÉREZ","PÉREZ"
